IDs,Full Name,Name - add to playernames or editedplayernames table,,,,COMMENT
266690,Lúcio,Lucimar,da Silva Ferreira,Lúcio,Lúcio,
266691,D. Forlán,Diego,Forlán,Forlán,,
266694,S. Al Owairan,Saeed,Al Owairan,Al Owairan,,
266695,T. Brolin,Tomas,Brolin,Brolin,,
266801,H. Kewell,Harry,Kewell,Kewell,,
268513,Jairzinho,Jair,Ventura Filho,Jairzinho,Jairzinho,
269603,W. Smolarek,Włodzimierz,Smolarek,Smolarek,,
273812,S. McManaman,Steve,McManaman,McManaman,,
274750,W. Sneijder,Wesley,Sneijder,Sneijder,,
274966,C. Tévez,Carlos,Tévez,Tevez,,
274967,J. Riise,John Arne,Riise,Riise,,
275049,E. Francescoli,Enzo,Francescoli,Francescoli,,
275092,S. Bompastor,Sonia,Bompastor,Bompastor,,
275243,M. Hamm,Mia,Hamm,Hamm,,
275276,B. Prinz,Birgit,Prinz,Prinz,,
524,L. Ricken,Lars,Ricken,Ricken,,
8385,A. Mostovoi,Aleksandr,Mostovoi,Mostovoi,,
164994,J. Błaszczykowski,Jakub,Błaszczykowski,Błaszczykowski,,
