teamid,teamname_cn,teamname_en
468,埃尔切,
469,埃斯特雷马杜拉,
472,拉斯帕尔马斯,
477,努曼西亚,
479,奥萨苏纳,
480,巴列卡诺,
481,塞维利亚,
483,比利亚雷亚尔,
485,汉诺威96,
503,德累斯顿迪纳摩,
506,奥厄,
543,雷根斯堡,
573,马拉加,
576,荷尔斯泰因基尔,
614,阿雅克肖,
673,KRC亨克,
674,KAA根特,
689,纽约红牛,
697,洛杉矶银河,
742,布尔萨体育,
819,哥本哈根,
896,巴塞尔,
900,伯尔尼年青人,
982,FC首尔,
983,水原三星,
1035,米内罗竞技,
1053,桑托斯,
1473,蔚山现代,
1474,浦项制铁,
1475,全南天龙,
1477,全北现代,
1478,济州联,
1516,中日德兰,
1530,昂热,
1629,格雷米奥,
1738,勒阿弗尔,
1746,恩波利,
1792,诺维奇,
1793,雷丁,
1794,谢菲尔德联,
1795,沃特福德,
1796,伯恩利,
1797,罗瑟汉姆联,
1799,水晶宫,
1801,普雷斯顿,
1805,格勒诺布尔,
1806,斯托克城,
1807,谢菲尔德星期三,
1808,布莱顿,
1809,图卢兹,
1813,尼奥尔岩羚羊,
1815,克莱蒙,
1816,亚眠,
1819,圣埃蒂安,
1823,南锡,
1824,法兰克福,
1825,杜伊斯堡,
1831,柏林联,
1837,桑普多利亚,
1842,卡利亚里,
1843,巴勒莫,
1844,利沃诺,
1847,阿斯科利,
1853,莱万特,
1854,阿尔瓦塞特,
1860,赫塔菲,
1861,阿尔梅利亚,
1867,科尔多瓦,
1876,河床,
1877,博卡青年,
1917,维冈竞技,
1919,布里斯托城,
1925,布伦特福德,
1939,哈德斯菲尔德,
1943,伯恩茅斯,
1952,赫尔城,
1960,斯旺西,
1961,卡迪夫城,
1968,加的斯,
2055,尚州尚武,
2056,大邱FC,
10029,霍芬海姆,
10030,帕德博恩07,
15019,塔拉戈纳,
100409,奥格斯堡,
100831,阿尔科孔,
100888,莱加内斯,
101014,伊斯坦布尔BB,
101085,阿根廷竞技,
101144,磐田喜悦,
101145,柏太阳神,
101146,神户胜利船,
101147,鹿岛鹿角,
101148,大阪樱花,
101149,清水鼓动,
101150,FC东京,
101151,横滨水手,
110062,吉罗纳,
110066,瑞欧马加达宏达,
110093,独立队,
110178,桑德豪森,
110316,GFC阿雅克肖,
110329,圣保利,
110373,萨莱诺,
110374,佛罗伦萨,
110456,瓦朗谢纳,
110502,达姆施塔特,
110556,热那亚,
110569,第戎,
110588,马德堡,
110636,杜塞尔多夫,
110734,克罗托内,
110741,斯佩齐亚,
110765,仁川联队,
110827,奥维多,
110831,卢哥,
110832,格拉纳达,
110839,韦斯卡,
110854,雷乌斯体育,
110911,福贾,
110912,帕多瓦,
110955,上海申花,
111235,海登海姆,
111239,因戈尔施塔特,
111273,红星,
111434,克雷莫纳,
111575,浦和红宝石,
111588,庆南FC,
111657,弗罗西诺内,
111724,山东鲁能,
111730,川崎前锋,
111768,北京中赫国安,
111769,长春亚泰,
111774,天津亿利,
111779,河南建业,
111817,巴黎FC,
111839,广州恒大淘宝,
111974,萨索洛,
111993,西塔德拉,
112026,贝内文托,
112092,名古屋鲸鱼,
112093,大阪钢巴,
112115,江源FC,
112162,江苏苏宁,
112165,重庆当代力帆,
112168,科森扎,
112172,莱比锡RB,
112276,奥尔良,
112378,大连一方,
112409,卡尔皮,
112429,广州富力,
112444,札幌冈萨多,
112448,长崎成功丸,
112476,沙佩科恩斯,
112537,北京人和,
112540,上海上港,
112606,奥兰多城SC,
112791,斯帕尔,
112828,纽约城FC,
112836,仙台七夕,
112977,贵州恒丰智诚,
112978,河北华夏幸福,
112983,天津权健,
113157,广岛三箭,
113160,鸟栖砂岩,
113161,湘南丽海,
113948,AS贝济耶,
